Start,Ziel,Gewichtung
de.ruv.baustein.basis.common.schwellwert,de.ruv.baustein.verbundtestinstitut.domain.logic,0
de.ruv.baustein.basis.common.schwellwert,de.ruv.vrrente.domain.logic.izk,100
de.ruv.baustein.verbundtestinstitut.domain.logic,de.ruv.vrrente.ui.enums,200
de.ruv.baustein.basis.common.schwellwert,de.ruv.vrrente.domain.logic.izk,300
de.ruv.vrrente.domain.logic.izk,de.ruv.vrrente.ui.enums,400
de.ruv.vrrente.domain.logic.adresspruefung,de.ruv.vrrente.domain.logic.adresspruefung,500
de.ruv.vrrente.domain.models.antrag,de.ruv.vrrente.domain.models.antrag,600
de.ruv.vrrente.domain.logic.izk,de.ruv.vrrente.domain.logic.rzgateway,700
de.ruv.vrrente.ui.beans.ladetarif,de.ruv.vrrente.domain.logic.izk,800
de.ruv.baustein.verbundtestinstitut.domain.logic,de.ruv.vrrente.validator.group,900
de.ruv.vrrente.ui.beans.ladetarif,de.ruv.vrrente.domain.models,1000
de.ruv.vrrente.domain.logic.adresspruefung,de.ruv.baustein.verbundtestinstitut.domain.logic,1100
de.ruv.vrrente.domain.models.antrag,de.ruv.vrrente.domain.logic.adresspruefung,1200
de.ruv.vrrente.domain.logic.rzgateway,de.ruv.vrrente.domain.models,1300
de.ruv.baustein.basis.common.schwellwert,de.ruv.vrrente.ui.beans.ladetarif,1400
de.ruv.vrrente.ui.enums,de.ruv.vrrente.ui.beans.ladetarif,1500
de.ruv.vrrente.domain.logic.rzgateway,de.ruv.vrrente.domain.models,1600
de.ruv.vrrente.domain.logic.adresspruefung,de.ruv.baustein.verbundtestinstitut.domain.logic,1700
de.ruv.baustein.verbundtestinstitut.domain.logic,de.ruv.vrrente.validator.group,1800
de.ruv.vrrente.validator.group,de.ruv.vrrente.domain.models.antrag,1900
de.ruv.vrrente.domain.logic.izk,de.ruv.vrrente.domain.logic.adresspruefung,2000
de.ruv.vrrente.domain.logic.adresspruefung,de.ruv.vrrente.ui.enums,2100
de.ruv.baustein.basis.common.schwellwert,de.ruv.vrrente.domain.logic.izk,2200
de.ruv.vrrente.validator.group,de.ruv.vrrente.ui.beans.ladetarif,2300
de.ruv.vrrente.domain.logic.adresspruefung,de.ruv.vrrente.validator.group,2400
de.ruv.vrrente.validator.group,de.ruv.baustein.verbundtestinstitut.domain.logic,2500
de.ruv.baustein.verbundtestinstitut.domain.logic,de.ruv.vrrente.domain.models,2600
de.ruv.vrrente.domain.logic.rzgateway,de.ruv.vrrente.validator.group,2700
de.ruv.baustein.basis.common.schwellwert,de.ruv.vrrente.domain.logic.rzgateway,2800
