Start,Ziel,Gewichtung
P57D982,P02YM0D,1
P57II01,T57II01,1
P57II02,T57II02,1
P57II02,T57II0E,1
P57IN01,P57BSOI,1
P57IN01,P57NFS1,1
P57IN01,P57NFS2,1
P57IN01,P57NIS1,1
P57IN01,P57NPG1,1
P57IN01,P57NVT1,1
P57IN01,P57YPG2,1
P57IN01,P57YU13,1
P57N011,P57BBIS,1
P57N011,P57BDO1,1
P57N011,P57BDOR,1
P57N011,P57BF1T,1
P57N011,P57BF2M,1
P57N011,P57BFEO,1
P57N011,P57BFER,1
P57N011,P57BFO1,1
P57N011,P57BFO2,1
P57N011,P57BFO3,1
P57N011,P57BNV1,1
P57N011,P57BSA1,1
P57N011,P57BSA2,1
P57N011,P57BSOS,1
P57N011,P57N06F,1
P57N011,P57N10F,1
P57N011,P57NBA1,1
P57N011,P57NBF2,1
P57N011,P57NCR1,1
P57N011,P57NDO2,1
P57N011,P57NEA1,1
P57N011,P57NEM1,1
P57N011,P57NIK1,1
P57N011,P57NOU1,1
P57N011,P57NOU2,1
P57N011,P57NP14,1
P57N011,P57NPD1,1
P57N011,P57NPP1,1
P57N011,P57NSC2,1
P57N011,P57NSD2,1
P57N011,P57NSD8,1
P57N011,P57NSH1,1
P57N011,P57NSH3,1
P57N011,P57NSN5,1
P57N011,P57NSN6,1
P57N011,P57NSN7,1
P57N011,P57NTX3,1
P57N011,P57NVP1,1
P57N011,P57NWB1,1
P57N011,P57NWE2,1
P57N011,P57YA12,1
P57N011,P57YA14,1
P57N011,P57YA82,1
P57N011,P57YAC1,1
P57N011,P57YAC2,1
P57N011,P57YAC3,1
P57N011,P57YDO2,1
P57N011,P57YGB2,1
P57N011,P57YIK2,1
P57N011,P57YP11,1
P57N011,P57YP14,1
P57N011,P57YTE2,1
P57N011,P57YU13,1
P57N011,P57YU14,1
P57N011,P57YU15,1
P57N011,P57YV14,1
P57N011,P57YV24,1
P57N011,P57YV34,1
P57N011,P57YV44,1
P57N01C,P57YA21,1
P57N01C,P57YE13,1
P57N01C,P57YE23,1
P57N01C,P57YO13,1
P57N01C,P57YO23,1
P57N01C,P57YP13,1
P57N01C,P57YR13,1
P57N01C,P57YR43,1
