Programm,PGMDEPTH,MCCABE,TOTALVERB
P57BANP,5,219,1550
P57BAT0,10,91,722
P57BAT1,2,125,1048
P57BAV1,7,32,400
P57BAVO,0,1,3
P57BBIS,8,425,2816
P57BBUP,6,163,866
P57BCVA,9,1429,8601
P57BCVB,8,1207,6910
P57BCVC,4,124,616
P57BCVD,0,1,3
P57BCVE,0,1,3
P57BCVF,0,1,3
P57BCVG,6,309,1848
P57BCVH,6,129,913
P57BCVI,0,1,3
P57BCVL,0,1,3
P57BCVP,6,198,996
P57BCVR,7,563,2636
P57BCVU,8,1455,6508
P57BCVV,8,2467,12978
P57BCVX,4,159,917
P57BCVY,4,168,576
P57BDO1,8,805,4711
P57BDO2,7,275,1585
P57BDO3,7,235,1477
P57BDO4,6,169,1011
P57BDOR,8,629,4255
P57BE01,6,198,1113
P57BF1T,9,859,6165
P57BF2M,7,459,2942
P57BF4T,7,164,940
P57BF5T,6,246,1740
P57BFEO,7,625,4582
P57BFER,10,773,5369
P57BFEU,9,480,3480
P57BFEV,6,167,854
P57BFEW,9,357,2438
P57BFO1,8,733,5012
P57BFO2,8,733,5012
P57BFO3,8,733,5012
P57BFO9,4,39,167
P57BFS1,6,216,1317
P57BISV,6,156,792
P57BK01,5,137,603
P57BNV1,7,306,2053
P57BNV2,6,365,2462
P57BPG1,6,166,975
P57BPG2,6,177,1041
P57BPG3,6,176,1042
P57BPG5,6,171,1000
P57BPG6,6,117,867
P57BPM2,1,13,22
P57BSA1,9,431,2538
P57BSA2,9,295,2151
P57BSA3,5,186,1040
P57BSH1,7,269,1629
P57BSO1,3,11,125
P57BSO2,6,207,1588
P57BSO3,3,14,80
P57BSO4,6,205,1087
P57BSO5,6,168,904
P57BSO6,1,9,57
P57BSO7,7,112,1030
P57BSO8,6,179,1365
P57BSO9,6,198,1112
P57BSOC,6,245,1432
P57BSOE,6,185,1559
P57BSOF,6,97,728
P57BSOG,9,235,1346
P57BSOI,6,187,1134
P57BSOJ,5,25,249
P57BSOK,6,16,223
P57BSOL,5,28,244
P57BSON,7,141,1046
P57BSOO,6,176,931
P57BSOP,6,176,951
P57BSOQ,7,157,1197
P57BSOS,7,455,2837
P57BSOT,5,28,462
P57BSOU,7,183,772
P57BSOX,6,91,617
P57BSOZ,6,194,1056
P57BTD1,8,715,3890
P57BTD2,7,650,3193
P57BTD4,6,222,1084
P57BTD5,8,697,3758
P57BTD6,7,640,3115
P57BTS5,2,13,47
P57BTS6,2,6,20
P57BUR1,7,276,2164
P57BVOR,6,202,1052
P57BVVR,6,168,1232
P57BWEB,6,33,122
P57BZM1,8,475,3198
P57D982,2,1,6
P57IG01,6,223,284
P57II01,6,136,1088
P57II02,6,207,1151
P57IN01,5,31,132
P57IT01,2,1,9
P57KTD1,7,181,1027
P57N011,5,139,928
P57N021,6,119,647
P57N041,6,144,781
P57N051,5,85,535
P57N061,5,135,879
P57N06F,7,184,1087
P57N071,5,173,1291
P57N07F,6,301,1745
P57N07Z,5,80,598
P57N081,5,95,612
P57N101,5,243,1560
P57N10F,7,180,1133
P57N10Z,5,80,518
P57N111,5,94,617
P57N121,5,84,534
P57N131,6,124,679
P57N141,5,85,536
P57N151,6,185,1059
P57N161,6,146,812
P57N16F,7,133,851
P57N171,5,144,783
P57N17F,7,137,858
P57N201,5,95,609
P57N21F,7,133,845
P57N221,5,101,632
P57N231,5,85,531
P57N241,5,85,561
P57N251,5,85,534
P57N261,5,85,541
P57N271,5,302,1899
P57N27F,7,183,1157
P57N291,5,101,630
P57N301,5,177,1157
P57N30F,7,126,780
P57N311,5,85,536
P57N321,5,88,553
P57N331,5,151,992
P57N341,5,99,604
P57N351,5,137,901
P57N361,5,102,650
P57N371,5,121,771
P57N381,5,121,776
P57N391,5,109,550
P57N401,5,85,541
P57N431,5,207,1200
P57N441,5,85,543
P57N461,5,85,540
P57N471,5,85,540
P57N481,5,85,533
P57N501,5,124,782
P57N511,5,112,707
P57N531,5,85,533
P57N541,5,197,1198
P57N54F,7,144,923
P57N54Z,5,79,520
P57N551,5,121,773
P57N561,6,213,1432
P57N56F,7,133,855
P57N56Z,5,79,548
P57N571,5,261,1393
P57N591,5,140,957
P57N59Z,5,79,526
P57N601,5,108,556
P57N611,5,85,533
P57N621,5,113,736
P57N631,5,86,550
P57N661,5,99,604
P57N671,5,110,653
P57N691,5,119,736
P57N701,5,133,851
P57N711,5,117,711
P57N721,5,121,769
P57N731,5,150,901
P57N741,5,127,817
P57N751,5,102,645
P57N801,5,120,704
P57N891,6,37,279
P57N894,5,96,621
P57N89B,6,96,530
P57N901,5,98,588
P57N951,5,56,419
P57N991,7,63,497
P57N992,5,172,442
P57N994,8,126,972
P57NA11,6,125,697
P57NA41,5,101,667
P57NA51,5,93,603
P57NA61,5,94,609
P57NA71,5,93,602
P57NA81,5,94,601
P57NA8Z,5,79,496
P57NA91,5,85,513
P57NA9Z,5,102,626
P57NAA1,7,131,868
P57NAA3,10,155,888
P57NAA4,7,93,593
P57NAA5,7,100,640
P57NAA6,6,96,583
P57NAF4,7,134,849
P57NAF5,7,134,847
P57NAF6,7,134,850
P57NAF7,7,137,852
P57NAFD,7,123,780
P57NAH1,8,447,2690
P57NAN1,6,257,1601
P57NANZ,5,142,798
P57NAO1,6,511,2514
P57NAO3,6,89,528
P57NAP0,5,267,1771
P57NAP1,5,141,903
P57NAP2,5,141,891
P57NAP3,5,127,822
P57NAP4,5,202,1296
P57NAP5,5,191,1224
P57NAP6,5,191,1223
P57NAP7,5,191,1224
P57NAP8,5,134,848
P57NAPA,5,151,988
P57NAPC,5,126,819
P57NAPD,5,218,1512
P57NAR1,5,133,857
P57NAS1,6,137,708
P57NAT1,6,185,1203
P57NAT2,7,94,571
P57NAT3,7,342,2404
P57NAT4,6,312,1968
P57NAT5,6,263,1880
P57NAW1,6,187,936
P57NAW2,6,167,856
P57NBA1,8,468,2999
